29025848	4	9
28882438	16	16
28904400	9	12
28886579	4	5
28516003	1	4
28473565	1	2
7306901	2	3
11962836	6	8
27861446	1	1
419157	2	4
27773120	9	10
27279880	11	12
27017772	10	11
5367222	3	7
26359493	2	4
24176169	3	9
10124079	1	1
16349769	9	10
25429116	1	2
25150426	4	5
24961466	6	7
23978467	4	6
23632730	18	22
15099261	3	5
23079871	5	7
22845876	4	5
23175201	2	4
19544039	1	1
22454891	3	4
21815478	3	5
20010208	13	14
21432660	6	13
11807984	14	17
15688496	23	25
3416042	5	8
19544344	2	3
6191070	11	11
19065053	4	5
19028908	8	9
18398342	1	1
12272679	8	8
17988004	1	2
17291524	4	5
16120830	2	3
8200965	8	7
15665904	2	3
13917210	4	5
11880753	2	5
10913201	4	6
9608828	3	4
