28979301	1	2
18008999	1	1
2391758	1	1
28650774	10	13
28565090	6	8
1844194	2	1
27277265	2	2
5256278	1	3
26908873	1	1
26816014	100	100
26498013	100	100
26142980	100	100
25973175	1	1
24914108	100	100
5327978	100	100
4241480	4	6
16758271	100	100
24412795	5	10
17011854	100	100
24200342	1	1
24135352	100	100
24096227	1	2
23916012	1	1
9103495	100	100
23711183	3	3
23438438	1	1
23430775	9	12
23125584	2	3
23083694	2	3
23107099	1	1
23065464	100	100
23030329	5	5
22845513	100	100
19842843	1	1
22469210	1	1
22355402	100	100
22192410	2	2
11215841	3	8
6634315	100	100
21881997	100	100
21945600	100	100
20190785	4	9
22659523	2	3
7900503	2	3
3656762	1	2
22811124	3	4
23430775	9	12
23537963	7	9
18885764	3	5
23938894	3	4
